number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
34,0.8745278996865204,5,450,3.285314486208233,0.019564888895823446,COMPLETE
35,0.8701889660621153,4,300,7.955497589112014,0.06459019021203838,COMPLETE
36,0.8723557692307693,3,350,2.5219240362345845,0.03375565520146064,COMPLETE
37,0.8745278996865204,6,400,1.4375175474353052,0.024526752455866198,COMPLETE
38,0.8745278996865204,5,250,9.875479799335858,0.0151036711599302,COMPLETE
39,0.8745278996865204,6,450,1.1024237611051697,0.018358429369658303,COMPLETE
40,0.8745278996865204,4,100,3.6385741244201104,0.012520319356079288,COMPLETE
41,0.8745278996865204,7,300,1.6436033772715375,0.021634976020910586,COMPLETE
42,0.8745278996865204,6,200,4.351155265226353,0.016383439438791766,COMPLETE
43,0.8745278996865204,5,250,1.2394328599568363,0.010517419447675235,COMPLETE
44,0.8745278996865204,7,200,2.0609058934118556,0.027762627574050822,COMPLETE
45,0.8745278996865204,5,350,6.004133358735014,0.0322471605541511,COMPLETE
46,0.8745278996865204,4,300,8.529831816380021,0.044023561822106,COMPLETE
47,0.8745278996865204,6,250,2.9702921220745955,0.013456410194312964,COMPLETE
48,0.8745278996865204,3,100,2.477920958554991,0.017957358179281607,COMPLETE
49,0.8680274010904516,5,500,1.469866781746134,0.06412973138734088,COMPLETE
50,0.8723557692307693,6,350,6.829015766957659,0.057299270404607694,COMPLETE
51,0.8723557692307693,8,200,1.1818737030071094,0.0463190494308592,COMPLETE
52,0.8701889660621153,7,300,1.053383601105112,0.07711625963189013,COMPLETE
53,0.8723557692307693,7,250,1.3229734996567513,0.04124115736836939,COMPLETE
54,0.8723557692307693,8,150,1.8466344767220653,0.05436352499294505,COMPLETE
55,0.8745278996865204,6,250,5.332828062700003,0.011464519187634964,COMPLETE
56,0.8745278996865204,5,200,3.717589304463716,0.021585963954262682,COMPLETE
57,0.8723557692307693,9,300,2.1892244666327576,0.029675709269684044,COMPLETE
58,0.8745278996865204,7,400,3.0107680312066982,0.014986235906908365,COMPLETE
59,0.8745278996865204,6,200,1.569277134752559,0.07402524186488674,COMPLETE
60,0.8745278996865204,5,150,4.775848129511323,0.0272540976077585,COMPLETE
61,0.8745278996865204,5,100,2.7683539509751003,0.037019263247457294,COMPLETE
62,0.8745278996865204,10,250,1.9474820653970257,0.030706116486943477,COMPLETE
63,0.8745278996865204,9,300,1.003868781329023,0.023834696022509913,COMPLETE
64,0.8745278996865204,10,150,2.4173691237799306,0.020093528126046808,COMPLETE
65,0.8745278996865204,9,350,2.6030599685739966,0.01728277479521111,COMPLETE
66,0.8745278996865204,4,200,3.277174446253928,0.0155461193529461,COMPLETE
67,0.8723557692307693,4,250,2.2783776827991042,0.05009967486639039,COMPLETE
68,0.8745278996865204,8,400,4.416221532951342,0.041930691778824206,COMPLETE
69,0.8745278996865204,6,350,6.4057156434453635,0.012323149091310534,COMPLETE
