number,value,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,state
28,0.8788067823226274,0.05533431316418274,12,400,44,0.06733431324299129,COMPLETE
29,0.8800572145081055,0.07724678656262467,39,300,78,0.0003406992496295084,COMPLETE
30,0.8815701348546515,0.0227038094962621,36,250,89,3.176757881160545,COMPLETE
31,0.8784530154880649,0.07756592544365068,46,300,35,0.23901047876266485,COMPLETE
32,0.8803183369144324,0.05058988631749943,47,300,31,0.6406492685290887,COMPLETE
33,0.8772089761156174,0.13187450256521424,42,350,15,0.1338779314974492,COMPLETE
34,0.8773782108940561,0.03326155201942642,46,450,56,0.027552388936767154,COMPLETE
35,0.8790715246546035,0.1686064811217126,27,150,40,2.849729795712538,COMPLETE
36,0.8800572145081055,0.09430782359601028,32,200,50,0.05222413533309051,COMPLETE
37,0.8815701348546515,0.013264855152292311,37,250,29,0.6583215349183189,COMPLETE
38,0.8772089761156174,0.0683308360469659,42,450,59,0.1546757742572456,COMPLETE
39,0.8800572145081055,0.04682522289815634,28,300,46,0.006434679893887258,COMPLETE
40,0.8800572145081055,0.2046277638057894,24,400,119,0.01593684247314366,COMPLETE
41,0.8800572145081055,0.21498650278288786,33,100,60,0.0017864189249295881,COMPLETE
42,0.8800572145081055,0.11141040228488629,49,150,71,0.00016183724208117625,COMPLETE
43,0.8815701348546515,0.019469655988749206,35,100,40,0.0005171270311927905,COMPLETE
44,0.8804948228399991,0.05940842529137223,40,100,32,0.0032678216881013313,COMPLETE
45,0.8799646693339159,0.23997349704906493,29,150,19,0.0006999402944911989,COMPLETE
46,0.8815701348546515,0.02746378536869779,50,250,51,0.006007217255638168,COMPLETE
47,0.8815701348546515,0.035924861961422784,44,350,48,0.002081022437123996,COMPLETE
48,0.8784530154880649,0.1345699282050549,34,200,39,0.018655428291232064,COMPLETE
49,0.8788067823226274,0.2803338284837081,48,250,27,0.0009363619951926514,COMPLETE
50,0.8815701348546515,0.01859149775072842,23,350,55,0.03458352505972613,COMPLETE
51,0.8815701348546515,0.01197589139898081,42,200,43,0.46599639529979076,COMPLETE
52,0.8815701348546515,0.015255962368943192,44,250,33,4.29960178103264,COMPLETE
53,0.8815701348546515,0.010623696997888473,37,500,36,0.0002950537592753098,COMPLETE
54,0.8776980007440236,0.0101765674342543,5,200,69,0.04727457133903263,COMPLETE
55,0.8815701348546515,0.04217225635456369,19,150,102,1.3627070057010178,COMPLETE
