number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
0,0.9041319285387082,5,200,2.8794987027743084,0.016086168279599335,COMPLETE
1,0.9039759675632579,5,200,9.46422997585095,0.04725465634350337,COMPLETE
2,0.9057378764153083,6,400,4.251098613974169,0.014124569718730218,COMPLETE
3,0.9028943372685648,6,150,6.15968271179479,0.19038215458238478,COMPLETE
4,0.9056603080440752,6,450,3.839353742634965,0.029512917376640812,COMPLETE
5,0.9040542929468902,5,400,4.679709109196773,0.017552717730729438,COMPLETE
6,0.9048958110127128,6,300,1.5819590422863894,0.017073525411384016,COMPLETE
7,0.9047392236246725,4,300,9.0648208126377,0.12104288105929664,COMPLETE
8,0.9057378764153083,7,250,1.0370303152842195,0.045261430514826465,COMPLETE
9,0.9022140587112077,4,400,1.3385505587667244,0.19602869635318174,COMPLETE
10,0.9055820564728132,10,500,2.6514896274698407,0.08045797701046706,COMPLETE
11,0.9039759675632579,8,350,2.0794878974170827,0.01049393594013468,COMPLETE
12,0.9048178613396005,8,250,1.0382363224076023,0.04138329535508816,COMPLETE
13,0.9065804935370152,8,100,5.320428442893012,0.06403292037892702,COMPLETE
14,0.9047392236246725,10,100,5.740417294612561,0.0800464492189601,COMPLETE
15,0.904973075704783,8,100,5.988714460175616,0.029775878500742606,COMPLETE
16,0.9030552291421856,9,500,4.209142444144614,0.07440037316576939,COMPLETE
17,0.9057378764153083,3,400,7.943708118768159,0.027100444889500863,COMPLETE
18,0.9030552291421856,7,350,3.311617291093485,0.06209077440685831,COMPLETE
19,0.904973075704783,9,150,2.2720263024080856,0.011072714451851567,COMPLETE
20,0.903896949315927,7,450,7.3962859138791055,0.12516513288479528,COMPLETE
21,0.9048178613396005,7,250,4.688787671833811,0.043362905423788,COMPLETE
22,0.9039759675632579,8,300,3.455158723910293,0.056671519682256734,COMPLETE
23,0.9057378764153083,9,200,1.7605273928864504,0.03472220712078686,COMPLETE
24,0.9039759675632579,7,150,5.120503836004243,0.022639394674146992,COMPLETE
25,0.9065033120760675,6,350,1.025985231314718,0.05465711953893091,COMPLETE
26,0.9038172350984733,6,350,7.2886296878561465,0.1154805157678009,COMPLETE
27,0.9022938212578424,5,450,3.812712331144079,0.09678685270209557,COMPLETE
28,0.9047392236246725,6,350,2.5019492145449025,0.05241252689458041,COMPLETE
29,0.9057378764153083,4,400,2.947112975357692,0.021785574393983913,COMPLETE
30,0.9058147646359381,8,250,1.3112854072227325,0.01274144422776276,COMPLETE
31,0.9066569996976626,8,250,1.2682275234686506,0.014081054345628029,COMPLETE
32,0.9040542929468902,9,200,1.2522438807922358,0.013316266352054238,COMPLETE
33,0.904973075704783,8,200,1.2671468260350593,0.013479222314899007,COMPLETE
34,0.9057378764153083,8,250,1.6246592251326033,0.06301898575071978,COMPLETE
35,0.9048178613396005,9,300,1.4228229640015702,0.020589572420969378,COMPLETE
36,0.9032133178474642,7,200,1.1708167784052104,0.14990851248864343,COMPLETE
37,0.9048958110127128,10,100,1.901212088002592,0.0355890046413889,COMPLETE
38,0.904973075704783,8,150,1.1443712441041896,0.014945581705772357,COMPLETE
39,0.9040542929468902,6,300,1.440723452295501,0.011990564288778245,COMPLETE
40,0.9048958110127128,7,250,1.025530586811667,0.0175970528298228,COMPLETE
41,0.9057378764153083,5,350,5.176472214180437,0.015586176373030537,COMPLETE
42,0.9048958110127128,5,400,1.545322541378201,0.01845581134986776,COMPLETE
43,0.9058147646359381,6,300,4.187759886987099,0.010226670065762495,COMPLETE
44,0.9040542929468902,6,300,4.251069995565249,0.011922524362419237,COMPLETE
45,0.904973075704783,6,250,1.2074316594404924,0.010511427604924071,COMPLETE
46,0.9048958110127128,8,350,3.631346726689817,0.05089625107168051,COMPLETE
47,0.9048178613396005,7,300,1.1073902447796182,0.02562091891750136,COMPLETE
48,0.9048178613396005,5,200,2.9880578361025445,0.06872187743094463,COMPLETE
49,0.9056603080440752,9,250,5.545682931245689,0.09082031815659025,COMPLETE
50,0.9066569996976626,8,300,1.3528194400323639,0.01004108377405605,COMPLETE
51,0.9058147646359381,8,300,1.3327753705620742,0.010223039066372279,COMPLETE
52,0.9048958110127128,7,300,6.519320052312929,0.01175274446716746,COMPLETE
53,0.9058147646359381,8,350,1.684921914773879,0.013310325196418124,COMPLETE
54,0.904973075704783,9,250,1.4550230010474654,0.010109342374759795,COMPLETE
55,0.9039759675632579,7,350,1.8127444976605664,0.03874054994104041,COMPLETE
56,0.9041319285387082,8,100,2.0320025810305187,0.015810912504440812,COMPLETE
57,0.904973075704783,6,150,4.58134139779426,0.013083786075290506,COMPLETE
58,0.9058147646359381,9,300,1.0475336615083741,0.011685322571760888,COMPLETE
59,0.9065804935370152,8,250,1.0060886508521603,0.04746514854046949,COMPLETE
60,0.9056603080440752,8,250,1.1067752288402195,0.04635167923896972,COMPLETE
61,0.9074236667722233,8,300,1.35621394668012,0.05491154069775745,COMPLETE
62,0.9065804935370152,8,250,1.3412453939484543,0.056448411159562124,COMPLETE
63,0.9065804935370152,8,350,1.0097545758955109,0.05879907903374241,COMPLETE
64,0.9039759675632579,8,300,1.545039574265091,0.06035905929249108,COMPLETE
65,0.9065804935370152,9,200,1.3871778960009948,0.07159129362467016,COMPLETE
66,0.9056603080440752,8,250,9.376588022095719,0.048485896397715195,COMPLETE
67,0.9039759675632579,9,200,1.2204671371000892,0.08610844795530614,COMPLETE
68,0.9056603080440752,8,350,1.1339445096028975,0.041188518127845956,COMPLETE
69,0.9047392236246725,7,450,1.0072023937979493,0.06723150489196535,COMPLETE
70,0.9065804935370152,8,250,1.3028352720317038,0.05629821630024694,COMPLETE
71,0.9046598947727726,10,200,1.3918717699340166,0.0737598039434426,COMPLETE
72,0.9048178613396005,9,150,1.5040122724002432,0.07606326213989281,COMPLETE
73,0.9056603080440752,9,250,1.0927299893884836,0.10815393649252839,COMPLETE
74,0.9066569996976626,8,250,1.2091667246320263,0.06243469626791063,COMPLETE
75,0.9039759675632579,8,400,1.2152840189304257,0.05824293092421587,COMPLETE
76,0.9056603080440752,8,300,2.366503650930584,0.0639598917439921,COMPLETE
77,0.9065804935370152,8,250,1.261149225478411,0.03277323054049505,COMPLETE
78,0.9048178613396005,7,250,8.724480317138195,0.050494772587655334,COMPLETE
79,0.9056603080440752,8,300,1.1649701214098191,0.04447525580241271,COMPLETE
80,0.9056603080440752,8,300,1.639860270754537,0.039957359238869186,COMPLETE
81,0.9039759675632579,9,200,1.3381286606332534,0.06823824266084741,COMPLETE
82,0.9039759675632579,3,250,1.371681533120888,0.052275707609879006,COMPLETE
83,0.9066569996976626,9,100,1.0708116464227388,0.08129646214018676,COMPLETE
84,0.9082674005274625,10,100,1.0807844216636038,0.08784788357944953,COMPLETE
85,0.9056603080440752,10,100,1.074348595894503,0.08308282205318072,COMPLETE
86,0.9047392236246725,10,100,1.175618647893631,0.10080501398328677,COMPLETE
87,0.9064254522769807,10,100,1.2464483956628374,0.0783026070711338,COMPLETE
88,0.9048958110127128,9,150,1.484849717309869,0.12519221258626947,COMPLETE
89,0.9048178613396005,7,100,1.0797428698912934,0.0952726427894888,COMPLETE
90,0.9048958110127128,9,100,1.733882332117859,0.06462230169885977,COMPLETE
91,0.9057378764153083,8,150,1.0066618540389018,0.05510096009428064,COMPLETE
92,0.9065804935370152,8,100,1.1395635355507245,0.0860445336092122,COMPLETE
93,0.9074997852673586,8,150,1.058977844929302,0.059558724541006795,COMPLETE
94,0.9065804935370152,9,150,1.2588386281515707,0.07150552601678832,COMPLETE
95,0.9039759675632579,7,100,1.0638633596801714,0.036684634754280826,COMPLETE
96,0.9057378764153083,8,150,1.1419580458421839,0.04811281961115208,COMPLETE
97,0.9057378764153083,8,100,1.2083128763119113,0.06174763034242009,COMPLETE
98,0.9056603080440752,9,200,1.3099192666307053,0.05313148344440601,COMPLETE
99,0.9056603080440752,8,100,6.669169312737735,0.08109585859965365,COMPLETE
